Stimulation_Day5_Donor1_IL-15	Stimulation_Day5_Donor1_Mabkine	Stimulation_Day5_Donor2_IL-15	Stimulation_Day5_Donor2_Mabkine	Stimulation_Day5_Donor3_IL-15	Stimulation_Day5_Donor3_Mabkine
AKIRIN2	165	217	191	293	235	112
AKNA	3451.29	3145.33	3911.7	4741.93	4167.7	1709.05
AKNAD1	1	1	0	4	3	3
AKR1A1	689.999	745.0004	691.00043	1037	751.001	502.9992156
AKR1B1	1281	1456	1382	2185	1563	817
AKR1B10	7.88907	15.5093	14.1082	18.4611	12.9585	2.49534
AKR1B15	9	14.4779	21	28	12	20
AKR1C1	0	1.38516	0	3.37823	3.69334	0
AKR1C2	3.11008	6.84433	12.31123	13.01231	8.57888	4.08493
AKR1C3	117.88992	29.77054	451.65087	99.5999	1080.63627	237.88822
AKR1C4	0	0	1.03753	1.00957	4.09293	1.02641
AKR1C6P	3.10606	5.04594	8.4161	4.08611	3.12464	6.17707
AKR1CL1	3	0	0	3	3	1
AKR1D1	14.6888000329699	13.397200866139	22.157	22.0492	30.36840331172	20.136100176618
AKR1E2	3	3	2	2	1	1
AKR7A2	1146.33	1327.37	1176.35	1569.17	1166.05	689.074
AKR7A2P1	4.00703	7	2	10	15.025	3
AKR7A3	4.70815	8.64848	4.1532	3.55885	4.15207	1.12521
AKR7L	18.4176	24.7155	22.3056	55.0164	39.10140228326	16.1398
AKT1	790.000277185	678.0004	756	943.999421	883.0003	371
AKT1S1	18.00003	17	15.000022	25.999991	16	12
AKT2	342.3282	331.6546485	411.2474	446.9284	516.2678	167.673
AKT3	84.94866	73.93964	108.541	100.434	137.79289	69.5838
AKTIP	237.9997	228.9994	212.1583	372.4458	218.4915	148.0005
ALAD	295	271	307	401	438	181
ALAS1	736	742	711	1003	953	528
ALAS2	1	1	0	6	0	1
ALB	0	1	2	3	2	0
ALCAM	31.00004	38	19	77	8.99999937	37.99997
ALDH16A1	103.00045222	218.999722	93	164	134.00032	90
ALDH18A1	427.0003	485	539	570	651.0003	375.9996
ALDH1A1	0	1	0	17	4	16
ALDH1A2	0	2	3	2	5	2
ALDH1A3	3	1	3	2	6	2
ALDH1B1	176.964	224.884	184.697	223.311	195.803	135.021
ALDH1L1	1	0	10	10	3	2
ALDH1L1-AS1	0	0	1	0	0	0
ALDH1L1-AS2	0	2	2	1	0	2
ALDH1L2	21.29503829	27.2289564	35.6284	54.0832924	59.013603742	31.1005328
ALDH2	0	4	3	9	32.99997	3
ALDH3A1	1.0000002	6	6	3	0	0
ALDH3A2	345.5465	319.5505	399.3392	443.8958	377.9192	293.0919
ALDH3B1	55.2313	34.29505	74.0895	127.1016	46.12510936263	65.21820117753
ALDH3B2	1	0	8	4	8	2
ALDH4A1	72	100.9999484	78	147.9999	75	47
ALDH5A1	73.1409	72.4685	112.426	126.3812	151.5538	72.1677
ALDH6A1	87.8623	107.621	84.5005	114.566	91.8632	44.8167
ALDH7A1	12.2681	11.3489	22.4204	18.7783	26.68234	11.1879
ALDH8A1	8.8821157	16.6511079	18.42	33.279357	36.9441	14.8160326
ALDH9A1	776	720	841	926	1070	505
ALDOA	28721.0247	45292.9608	23740.0317	55677.9783	20648.0486	15124.9936
ALDOB	2	1	3	2	1	1
ALDOC	220	270	287.012	313.011	330	143
ALG1	500.908	554.819	628.246	766.672	714.032	375.596
ALG10	30.1267	37.8621	56.7751	37.617	55.725	41.3928
ALG10B	185.066	165.838	225.95	261.986	265.336	160.831
ALG11	155.77177	137.6967	195.8707	200.8366	270.559	162.914
ALG12	406	499	622	562	562	314
ALG13	76.999967	76.011	81.10095	117.2316	144.5387	76.17220444904
ALG14	30	33	19	34	30	22
ALG1L	31.7212	14.048	41.3646	40.6414	41.3756	14.0125
ALG1L2	2.01794	5	10.52	6.05175	9.03997	7.07884
ALG1L9P	31.6769	25.93195	38.90773	70.38289	60.17579	40.64701
ALG2	259.9996	336.9996	334.0002	497	377.0004	245.0004
ALG3	319.0001	433.99971	323.9999	636.0001	392.99964	241.9998
ALG5	306.0005	278	347	524	405	199.0003
ALG6	159	176	241	296	295	173
ALG8	207.3699	224	258.983	390.0937	245.5994	125.6457
ALG9	203.27	202.8234	266.9589	276.9833	317.9209	157.4075
ALK	5	5	10	11	8	6
ALKBH1	46	54	65	71	70	53
ALKBH2	39.99998	38.00006	58.00009	75.99996	48.9999	51.0000458573
ALKBH3	280	289	320	523	334	214
ALKBH4	244.915	230.933	239.731	304.937	346.17	160.714
ALKBH5	331	291	341	477	350	157
ALKBH6	294.0003	348	263	450.9997	321.0004	161.9998
ALKBH7	371	422	268	363	282	103
ALKBH8	37	67	72	89	132	67
ALLC	0	1	0	1	2	0
ALMS1	89.0066	68.0086	105.121	73.7963	127.118	44.0093
ALMS1P	1	1	0	2.20725	6	5
ALOX12	17	11	27	26	27	30
ALOX12B	1	1	13	1	4	5
ALOX12P2	31	36	82	70	72	49
ALOX15	9.18164	8.14476	20.3542	19.3342	14.2745	7.14066
ALOX15B	8.27083	7	5.06382	10	10.2513	6
ALOX15P1	0	0	0	2	3	0
ALOX5	1	7	14	3	11	5
ALOX5AP	615	582	1333	1799.00131	1996.00267	661
ALOXE3	2	0	2	6	4	5
ALPI	0	1	3	4	4	1
ALPK1	147.05213957	90.98349336724	187.2453773825	253.81559532	218.54951992	150.3906
ALPK2	4	1	5	20	3	1
ALPK3	7	8	15	17	10	5
ALPL	1	1	1	4	3	0
ALPP	6.04475	13.5511	31.5501	17.0386	29.8361	19.7713
ALPPL2	2	0	4.13163	3.17756	0	0
ALS2	147.304	134.6105	199.0416	217.596	224.903	107.5009
ALS2CL	33.2923	19.5622	30.42895	52.8606	43.62203	36.525
ALS2CR11	5	4	12.99999	15	7	13
ALS2CR12	15	7	14	10	16	7
ALS2CR8	64.2216	45.37	70.1272	68.0966	66.88301	52.5982
ALX1	0	0	0	0	0	0
ALX3	8	8	6	14	13	8
ALX4	3	3	4	5	6	3
ALYREF	145	168	117	206	124	100
AMACR	71.57032	74.99668	131.8636	182.8253	136.4267	120.4042
AMBN	1	0	8	1	3	2
AMBP	0	0	3	3	1	1
AMBRA1	262.739	235.22321	319.9547	314.7446	420.7325	196.7161
AMD1	526	636	545.732	873.823	777.0002	606.99987
AMDHD1	6	7	38	25	43	13
AMDHD2	289.3383	337.8079	333.4857	559.0736	415.8855	224.0918
AMELX	0	0	1	2	2	0
AMELY	0	0	0	0	1	0
AMER1	18.3786	13.8322	28.5966	16.6624	16.6868	11.3802
AMER2	3	2	2	2	5	8
AMER3	48.3633402427	38.8756178631	66.767714763988	54.8940273921	95.0167438	62.59873196105
AMFR	684.547	795.739	563.22	777.121	762.804	472.541
AMH	6	3	7	3	3	3
AMHR2	0	1	5.000004	3	3	4.999995
AMICA1	66	18	65	56	71	52
AMIGO1	3	9	6	2	5	11
AMIGO2	62	63	67	56	120.99953	40.99996
AMIGO3	98	125	115	109	80	70
AMMECR1	65	66	83	110	108	60.00001
AMMECR1L	147.687122	150.095	138.006000031748	260.9169	218.373	149.945010748
AMN	4	0	0	2	2	3
AMN1	21	6.000001232	16	10	42	17.999954594
AMOT	13	9	13	6	11	3
AMOTL1	176.065	133.953	203.557	278.316	233.043	158.253
AMOTL2	7	2	3	9	5	3
AMPD1	0.99999968	3.0000048	0	2.00000058	1.9999985	1.00000022
AMPD2	338.00014982	389.9997	313.0006	503.0006	358.9997	288
AMPD3	92	59	108	89.15286	111.3011	46.00003
AMPH	7	8	23	13	23	12
AMT	88.35538	75.5059	124.4016	109.356	138.45630006056	56.95107127557
AMTN	1	0	2	4	0	1
AMY1A	2.500467	4.37997	2.186745	1.664385e-06	2.370549e-06	4.35303e-07
AMY1B	0	0	0	3.99999	2.440032	4.00527
AMY1C	0	0	0	5.61828e-06	7.45947e-06	1.64214e-06
AMY2A	2	2.61993	0	3.58936	0	6.05867
AMY2B	15.4995	7.00011	11.8133	3.41064	23.6738	13.7623
AMZ1	28.9701	14.0828	31.4033	29.3901	19.9201	14.8292
AMZ2	291.9514	317.956	277.808900401794	463	349.8575	182.93849
AMZ2P1	34.0486	33.0442	67.1907	90	57.1426	26.0614
ANAPC1	314.877	308.748	332.926	519.892	488.31	378.115
ANAPC10	49.40757	89.50804	62.36614	100.9339	78.547	43.538683
ANAPC11	2967.0004	3308.9999	2224.9993	4113.002	2020.9996	1175.9991
ANAPC13	127.146	115.63734	175.5632	162.90019	182.4344	99.1951
ANAPC15	245.957	331.935	252.332	416.969	285.471	136.177
ANAPC16	1099.6672	1224.05589	1299.8924	1846.9128	1464.6627	652.21785
ANAPC1P1	0	3.14589	13.5615	7.26469	7.3911	5.22387
ANAPC2	54	57	72	69	49	34
ANAPC4	159	173	185	193	274	116
ANAPC5	1750.001	1803.357	1830.373	2031.26	2140.864	1191.24
ANAPC7	357	399.0004	567.0002	592	671	355.0002
ANG	3.000139155	9.56089	9.52839	16.255200254218	9.74209	9.67288
ANGEL1	93	125	106	98	219	87
ANGEL2	154.338	129.076	228.655	211.005	226.287	146.46
ANGPT1	5	0	3	8	1.999999	2.000004
ANGPT2	68.9838	44.121	63.4442000352444	82.97416	97.9915	57.5041
ANGPT4	4	8	12	10	5	3
ANGPTL1	2	0	7	2	4	0
ANGPTL2	0	2	2	9	8	3
ANGPTL3	2	0	10	5	7	8
ANGPTL4	3	9	9	10	15	10
ANGPTL5	0	0	0	2	0	3
ANGPTL6	8.82375	12.2046	11.4954	7.49895	13.8953	3.6385
ANGPTL7	2	7	4	12	4	7
ANHX	6	0	1	1	5	0
ANK1	11	18	15.9999976	35.999983	15	22.0000223028004
ANK2	3.00000128578	3.00000378281	8	8	5.9999976659	10.99999497267
ANK3	40	20.99998	48.00001	47.99996	39.99993	56.99999
ANKAR	29	32	57	51	62	41
ANKDD1A	24.0849	22.1167	189.496	168.503	98.6674	61
ANKDD1B	1	1	2	2	2	3
ANKEF1	55.9777	45.450100749672	100.9119	96.2371	124.0461	38.012
ANKFN1	1	2	6	3	1	1
ANKFY1	329.0002	292.9995	474	465.00000113329	480.000000012757	257.999500751505
ANKH	159.94	88.4665	191.948	148.971	276.987	121.371
ANKHD1	479.7718535687	440.43423	623.38234	408.1313106423	786.2552029	320.144115
ANKHD1-EIF4EBP3	243.654	222.634	283.712	530.72	458.557	242.181
ANKIB1	146	142	204	221	271	154
ANKK1	10.7064	0	10.3432	9.92995	12.1617	11.3342
ANKLE1	266.708	264.158	416.455	413.822	525.729	253.172
ANKLE2	370	370	417	563	475	223
ANKMY1	124	105	147	185.9997	132.0004	95
ANKMY2	136	157	151	261	244	100
ANKRA2	129	95	181	158	237	119
ANKRD1	2.35438	2.397	2.14323	4.62501	9.66733	0
ANKRD10	759	712	1255	1023	1731	708
ANKRD11	932.000843	818.0006165	725.9994344	1523.9982514	985.0003	539.00056291
ANKRD12	684.649	558.0289	788.3715	778.948	1066.5581	516.9873
ANKRD13A	308	281	333	366	390	168
ANKRD13B	9	13	9	21	5	11
ANKRD13C	343	360	277	514	398	257
ANKRD13D	430.0004	387.0003	375.9995	741	505.9998	286.9995
ANKRD16	28.1207	17.016	34.4483	44.8461	52.42944	30.97486
ANKRD17	419	378	413.0003	590.0004	524	345
ANKRD18A	1.25097	0	8.00664	3.60119	6.11361	0
ANKRD18B	3.74903	6.12028	11.9934	2.39881	4.88639	16
ANKRD18DP	7	5	4	6	1	7
ANKRD19P	22.0196	26.8957	34.0295	45.0235	31.0128	18.0029
ANKRD2	3	0	3	7	1	2
ANKRD20A1	4.85904	1.91656	0	26.0719	0	0
ANKRD20A11P	0	1	8.55034	2	11.8773	7.74245
ANKRD20A12P	1	3	16	11	20	13
ANKRD20A19P	15.5251	11.2525	29.0328	26.0924	19.508	13.9279
ANKRD20A2	1.0044	0.792694	0	0	0	0
ANKRD20A3	18.13656	9.06864	31.16474	17.6798	28.6577	14.51364
ANKRD20A4	0	0	2.87937	0	36.0695	12.0602
ANKRD20A5P	14	7	25.9798	15.5702	19.4856	9
ANKRD20A8P	0	3.22211	8.42572	4.76634	13.1832	10.4262
ANKRD20A9P	954.513	886.774	1621.58	1682.28	2058.87	1150.41
ANKRD22	6.172	9.19892	18.5796	18.3361	22.4063	17.4265
ANKRD23	84	72	71	64	75	47
ANKRD24	5	8	11	18	8	10
ANKRD26	119	102	62	113	165.0002	82.9999618575
ANKRD26P1	1	0	1	4	3	0
ANKRD26P3	2	1	3	2	4	2
ANKRD27	491	431	577	544	574	294
ANKRD28	98.0001	84	186.9999	212.9999	215.0002	102
ANKRD29	0	0	1	1	4	1
ANKRD30A	2	3	2	7	3	9
ANKRD30B	5	4	9	13	11	11
ANKRD30BL	3	3.15932	12.35731	5.35193	6.12378	3.83235
ANKRD30BP2	13.1801	10.252	16.6747	20.4882	28.7593	22.2252
ANKRD30BP3	0	0	0	1	1	1
ANKRD31	2	2	8	3	14	8
ANKRD32	140	166	136	203	150	86
ANKRD33	2	0	3	6	0	1
ANKRD33B	28	24	84	49	79	25
ANKRD34A	6	5	12	7	24	4
ANKRD34B	3	2	3	1	0	1
ANKRD34C	2	3	3	11	1	7
ANKRD35	122	149	62	140	103	53
ANKRD36	1431.03	1065.65	1772.27	1535.26	2441.42	917.183
ANKRD36B	797.382	560.717	1052.63	840.285	1420.07	528.012
ANKRD36BP1	232.077	201.814	376.489	309.54	371.09	161.381
ANKRD36BP2	2.00338	4.03713	5.02815	4.02538	5.00972	4.02078
ANKRD37	20.6598	25.6438	8.94481	39.5781	17.7885	22.6848
ANKRD39	297	396	298	447	285	183
ANKRD40	292.651	312.561	388.23	397.62	453.261	229.776
ANKRD42	25.1212	28.1374	26.168	31.8302	44.3271	23.8038
ANKRD44	2487.9972	2028.0037	3603.9984	2660.9991	4611.9964	1966.0042
ANKRD45	13.1708	8.48156	15.1709	13.7381	19.5696	17.2809
ANKRD46	34.99997	41.00001	59	50.00003	68.99999	33.00002
ANKRD49	85	77	147	113	165	74
ANKRD50	5	4	5	14	6	15
ANKRD52	445	653	607	832	523	356
ANKRD53	6	4	4	3	7	0
ANKRD54	242.9999	299	268.0005	432.00000067772	346.000306	250
ANKRD55	0	2	1	3	5	1
ANKRD6	8.45713	12.5019000114765	15.3549	29.2624	26.9868	7.63107
ANKRD61	10	19	7	10	17	7
ANKRD62P1-PARP4P3	73	45	134	126	161	67
ANKRD63	1	0	1	2	0	0
ANKRD65	13.08178173824	12.2392309808	15.13060063351	28.1307937256	19.1952738002	6.03870321052
ANKRD66	0	0	0	1	1	0
ANKRD7	0	0	0	2	2	2
ANKRD9	8	6	8	7	5	8
ANKS1A	82	64	99	119	174	44
ANKS1B	14.38605	17	20.11845	20.81828	22.99998	18.34595
ANKS3	90	101	108	168	146.00004	82
ANKS4B	71.7704	60.8811	99.3585	108.897	101.538	70.5229
ANKS6	17	9	32	18	43	25
ANKUB1	0	0	1	1	2	1
ANKZF1	288	316.0003	354.0004	408.999684	352.9999	224.9999183
ANLN	393	389.997	498	557	547	338.986
ANO1	3	6	6	9	6	8
ANO10	124	110	101.000048	137.9997	99.00000826014	82.0001
ANO2	0	4	2	4	4	2
ANO3	5	0	5	6	2	5
ANO4	1	0	3	3	2	2
ANO5	7	8	10	8	18.00001	12
ANO6	330.595235951	274.0789	386.3397	422.8611	536.9930555	217.3244
ANO7	26.104	19.0733	21.4732	26.6427	40.8741	14.862
ANO8	8.59469	11.5033	7.3785	12.3187	13.8729	7.87083
ANO9	190	124	145	102	94	62
ANP32A	321.976	292.987	336.883	456.991	471.864	209
ANP32A-IT1	99.2129	65.0721	117.258	125.141	177.365	74.751
ANP32AP1	1.02416	1.01312	2.11735	0	2.13626	0
ANP32B	3666	4682	2818	5368	3233	1923
ANP32C	0	0	0	1.00887	0	0
ANP32D	0	0	0	0	0	0
ANP32E	3844.0004	4305.005	4689.004	5279.995	5334.9982	2637.0052468
ANPEP	12	8	12	11	6	16
ANTXR1	8	2	9	10.000007	12	5
ANTXR2	305.0076	365.283	300.5527	390.485	245.2767	150.2581
ANXA1	2177	2992	2387	4027	2873	1639
ANXA10	1	0	1	0	1	2
ANXA11	873.9997	805.0003	1008.9997	1371.9989	1344	625.9993
ANXA13	1	0	1	3	0	0
ANXA2	8329.3815	12270.9018	8398.5804	17114.3893	6392.4956	4317.9243
ANXA2P1	0	3.002	2.00055	0	2.00073	1.00081
ANXA2P2	78.5107	128.584	108.777	174.819	77.391	56.7894
ANXA2P3	1.00014	0	0	1.00014	0	0
ANXA2R	155	110	235	165	378	91
ANXA3	5	34	2	219	5	9
ANXA4	443	431	568	538	821	282
ANXA5	437	377	394	760	475	316
ANXA6	8872.00146053	10757.00070514	9229.0036	10958.007	9143.00000276092	4466.9999
ANXA7	1130	1279.00408	1487	2040.9967	1722.997	1009
ANXA8	2	2	0	4	5	1
ANXA8L1	0	0	0	0	0	0
ANXA8L2	0	0	0	0	0	0
ANXA9	4	10	25	26	9	10
AOAH	1035	791.0002	1571.995	847.0001	3289.004	961.9995
AOAH-IT1	4	2	11	1	7	5
AOC2	4	1	7	9	3	2
AOC3	2	4	3	8.57406	8	2.06705
AOC4	10.7948	1.32985	17.8806	10.629	12.6884	14.3405
AOX1	3	2	4	6	5	6
AOX2P	29.3946	31.4305	21.8363	42.1464	37.2675	28.9508
AP1AR	114.99971	115.99966	117	161	131	135
AP1B1	1395.0049	1682.9964	1472.0035	2277.003	1429	953
AP1B1P1	3	1	0	5	1	2
AP1G1	455	558.9996	709	732	590	428
AP1G2	1991	1904	2806	2961	2885	1333
AP1M1	3074.9998	3486.0008	3027.998	4502.998	3086.9997	1631
AP1M2	7	4	4	3	1	3
AP1S1	109	110	93	148	70	46
AP1S2	389.705	380.677	418.182	377.392	517.356	213.195
AP1S3	111.874	105.913	154.702	153.462	177.348	104.808
AP2A1	646.441	693.072	546.372	733.575	553.266	262.7384
AP2A2	103	83	91	149.9998764	180.9997	70.00000112025
AP2B1	929	1061	1262	1561	1159	658
AP2M1	2865.002	3580	2706.999	4456	2919.998	1638.003
AP2S1	1695.0026	1816.9987	1301.996	2242.9983	1340.9956	739.9999
AP3B1	657.0002	684.0005	638	743.0004	958.0001	409.0003
AP3B2	1	1	6	8	4	0
AP3D1	1058.0035	1011	841	1535.002	1122.0029	479.0003
AP3M1	372.7969	474.5962	563.893	688.947	743.4314	429.3024
AP3M2	265.0001	314	254.0002	524.0001	413.9996	234.0001
AP3S1	565	684	576	662	567	314
AP3S2	409.259	352.9241	397.883	550.6255	513.4211	249.8329
AP4B1	250.478	271.9836	351.4448	354.4209	412.7924	215.6688
AP4B1-AS1	40.4551	22.9204	22.9374	48.8535	58.2607	36.8853
AP4E1	93.26604	105.02362	135.36	167.54300781087	194.1249384	110.826036486
AP4M1	82.8609	82.2435	74.5483	118.627	95.4922	65.2742
AP4S1	225.26777205	216.170824487	317.77204	394.02972	400.7587467497	230.2577777948
AP5B1	320.083	270.377	336.028	315.593	318.833	204.022
AP5M1	180.9995	199.99989	252.00007	280.99989	379.0003	205
AP5S1	182.2904	210.4425	132.6979	222.2823	177.0473	105.7087
AP5Z1	800.433	723.082	1080.2	1289.81	1192.9	587.356
APAF1	183.9296	180.898123592273	297.55575	286.095191	327.02317409926	194.226554063872
APBA1	20.0054	34	13	29	24	15
APBA2	397.0003	392	410	469.9998	944.9999	319.9997
APBA3	345	441	492	650	602	287
APBB1	501.00013	251.000432043377	588.0003	283.9998718	848.99998	232.99956
APBB1IP	396	306	543	483	734	284
APBB2	32.39164013	46.3395	56.2579	160.98277	48.11227885	69.69831
APBB3	64	91	119	110.00000471791	135	53
APC	149.999952502	130	251.9995	243.0002386	350.0002	132
APC2	19	22	46	58	25	26
APCDD1	0	1	3	1	4	2
APCDD1L	9	9	13	12	8	6
APCDD1L-AS1	1	1	6	5	2	2
APCS	0	0	0	1	1	0
APEH	2105	2607	2200	3241	2264	1078
APEX1	809.0004	1118.9995	887.0001	1522.9984	848.9991	696.9994
APEX2	419.9998	468	451	613	593.9996	332
APH1A	541.999900012544	565.9996	633.9992	813.0001	684.999600025382	326.9997
APH1B	40	49	53.99996	80	128.0002	44
API5	758.0001	928.6164	1093.4875	1068.5628	1332.2304	776.0004
APIP	177.686	138.835	179.283	288.062	186.417	105.747
APITD1	117.4236	166.2593	154.4034	231.4824	142.0704	114.6004
APITD1-CORT	31.2131	22.40876	11.0498	91.7307	22.70614	17.8849
APLF	17	31	37	39	54	32
APLN	13	3	2	7	5	6
APLNR	0	1.9999952	2.0000024	5	2.0000049	1
APLP1	1.999998	1	3.000002	3.999999	3.999998	2.000003
APLP2	778.99999	636.999146047	979	928.000625026	1365	559.9991002
APMAP	3742	2870	6579	3927	10585	2601
APOA1	1	7	4	8	5	11
APOA1BP	730	524	754	736	826	303
APOA2	1	3	5	2	1	0
APOA4	0	0	0	2	0	2
APOA5	0	1	0	0	0	0
APOB	3	1	13	4	5	4
APOBEC1	0	0	1	1	1	2
APOBEC2	25	13	24	12	53	14
APOBEC3A	20.773	16.9162	37.8868	34.8521	59.9597	34.832
APOBEC3A_B	0	0	5.80615	0	2.35565	1.85218
APOBEC3B	1201.28	1282.74	1712.66828	2436.22381	1507.91	741.338
APOBEC3C	2287.26	2329.7	3343.08	4886.56	3701.06	1920.91
APOBEC3D	418.267	395.308	656.741	819.598	857.792	415.748
APOBEC3F	762.8917	704.9969	1139.6216	1494.4101	1471.762	741.4827
APOBEC3G	5200.58	5345.91	11216	14220.7	14636.4	6890.81
APOBEC3H	288.4553	321.631400187753	269.3854696	502.0525	274.0787	194.57533
APOBEC4	2	0	0	0	0	3
APOBR	939.287	826.345	923.099	971.234	1034.42	338.402
APOC1	0	0	0	5	0	3.29668
APOC1P1	11.1264	14.87928	17.72134	21.91931	24.03091	16.00956
APOC2	5	5	3	4	5.01576	1.03051
APOC3	0	1	1	1	0	0
APOC4	12.3659	4.38867	23.5928	13.0193	21.4732	14.6934
APOC4-APOC2	0	0	0	0	2.78215	2.75434
APOD	3	2.00358	0	6	2.00338	1
APOE	0	0	2	1	1	4
APOF	17.99	15.9233	18.2957	19.3072	28.9335	8.43703
APOH	0	0	3	1	2	0
APOL1	361.0349	322.7135	623.4793	653.585	714.2245	260.5979
APOL2	618.1409	633.919	788.447	1066.19	917.633	434.009
APOL3	518.48453510459	373.59794	818.99943	402.9994	1247.00018003545	304.00005
APOL4	246.96983562	212.9963	225.4157	291.9416	294.829	177.5225
APOL5	0	0	0	0	0	0
APOL6	1679.05	1602.84	2024.59	2810.14	2660.64	1325.93
APOLD1	42.7584	49.6032	81.3455	81.9112	81.7456	50.4671
APOM	10.5253	16.43178	7.185890479488	39.49937	15	12.27895
APOO	93.00002	78	108.99998	125.9806	131.9999	58.99997
APOOL	507.816	621.933	474.685	597.848	668.878	482.375
APOPT1	306.699	316.952	303.579	507.013	311.285	214.491
APP	7	17.00000206229	11.0000101723	47.00004186	14	19.000016947274
APPBP2	89.3101	85.2921	121.606	134.262	112.538	96.1077
APPL1	202.655	222.117	240.159	295.636	289.396	147.738
APPL2	127.0004	133.00002	124	170.9999	171.9998	56
APRT	2526.002	3348	1894.004	3665	2016.999	1191
APTX	206.999984	234.99994	272.999940238764	362.99974	294.999906	158
AQP1	1	2	2	7	2	3
AQP10	0	0	7	7	8	2
AQP11	12	18	14	19	24	12
AQP12A	1	1	0	1	0	0
AQP12B	0	0	2	1	0	0
AQP2	1	1	1	3	11	2
AQP3	76	69	96	73	138	82
AQP4	2	2.000000167264	4	2.000000106176	2.000000276773	0
AQP4-AS1	25.2266	13.5967	39.2725	33.1697	44.5655	25.1123
AQP5	1	2	2	2	1	2
AQP6	8.13325	11.7213	23.9608	23.4795	19.4819	14.4988
AQP7	1	1	2.43444	7	3	1.2596
AQP7P1	11	2	8.56556	19.3083	6	9.7404
AQP7P3	1	2	0	5.69171	3	0
AQP8	0	2	2	3	3	0
AQP9	0	1	2	4	0	2
AQPEP	1	0	3	2	3	1
AQR	204	237	260	307	384	253
AR	4	1	2	5	3	3
ARAF	513.0002	411.0005	542.00002	598.0003	679.0002	315.99989
ARAP1	1053	982.000000182173	1047	1325	1277	601
ARAP2	380	280	433	398	609	318
ARAP3	27	21	64	32	91	19
ARC	1	0	4	11	10	2
ARCN1	952.372	1021.9025	1046.2707	1469.3074	1463.0033	812.637
AREG	0	1	5	4	0	6
ARF1	9950.9965	12182.9769	8958.0038	14138.9627	9225.9972	4882
ARF3	303	295	434	421	464	159
ARF4	397	495	387	632	433	262
ARF5	1800	2090	1784	2605	1812	903
ARF6	2260.94	2239.98	2193	2840	2524.98	1443.98
ARFGAP1	762	734	651.9996	1105	847	418.0003
ARFGAP2	1354.9869	1276.951	1587.9851	1984.898	1820.9073	915
ARFGAP3	810	819	848	1008.99968	1213.0037	567
ARFGEF1	234	178	250	284	356	171
ARFGEF2	161	150	244	237	239	141
ARFIP1	273.0003	200.0005	269.0001	289.9996	341.0004	164
ARFIP2	279.4745	337.6076	383.9861	464.1506	405.7450649307	222.1156
ARFRP1	700.00046	755.9989816116	697.999507828	1281.999942	868.001086	500.0005
ARG1	1	1.0000000128217	2	3.0000000236403	1.0000000232238	2
ARG2	40.4008	44.1928	58.2785	55.053	76.5473	18.3807
ARGFX	218.057	173.163	280.341	304.229	370.666	204.095
ARGFXP2	24.0614	32.1377	47.1138	52.4725	46.3961	27.4643
ARGLU1	854	1026	1014	1291	1415	746
ARHGAP1	661.946	592.664	574.501	745.505	717.708	329.52
ARHGAP10	94	74	135	98	197	78
ARHGAP11A	403.398	521.42	479.621	827.111	597.717	488.618
ARHGAP11B	95.0444	124.607	70.3478	104.641	143.406	99.2315
ARHGAP12	20.108	18.0071	28.0861000125949	33.15089	45.1737010077	33.0000005104513
ARHGAP15	900	995	1089	1497	1336	730
ARHGAP17	165.0004	161.0002	168	233.9996	219.0001	81
ARHGAP18	309	199	240	329	466	210
ARHGAP19	395.2509	434.3726	595.7376	676.2541	664.266	265.1949
ARHGAP19-SLIT1	122.749	145.628	118.263	156.746	215.734	93.8006
ARHGAP20	2	0	10	3	2	4
ARHGAP21	131	121	142	154	171	86
ARHGAP22	1	0	7	3	9	11
ARHGAP23	9	5	10	16	9	5
ARHGAP24	1	2	2	0	10.00001	2
ARHGAP25	1076.9992	870.99987916	1743.0048	1258.0003	2373.0027	907.00039
ARHGAP26	181.7859	108.089000517199	336.2247	263.214	381.855	175.2497
ARHGAP26-AS1	0	2	1	0	2	4
ARHGAP27	892	777	987	1099	1032	531
ARHGAP28	1	2	2	4	2	2
ARHGAP29	5	4	9	12	11	8
ARHGAP30	3647.00000004887	3673.0048	4457.0042	6385.999	5099.998325	2282.00109943
ARHGAP31	202.585	146.395	269.075	332.469	375.069	234.967
ARHGAP32	25.0000000980472	7	30.99995	22	11	6
ARHGAP33	100	100	93	93	89	42
ARHGAP35	341.421	387.062	364.162	494.305	435.045	180.125
ARHGAP36	0	1	0	0	1	0
ARHGAP39	2	3	7	11	7	3
ARHGAP4	2230.9991	2541.003	2267.0018	3491.005	2399.996	1189.0018
ARHGAP40	0	1	2	4	1	1
ARHGAP42	2	13	21	18	13	6
ARHGAP44	1	1	4	11	2	3
ARHGAP5	80.0000107226	94.00001031	96.9999584834	157.000000160242	119	84.0000316239
ARHGAP5-AS1	7	0	2	1	0	2
ARHGAP6	2	2	1	6	0	4.0000042
ARHGAP8	20.4468	15.5721	26.6808	33.9846	53.62795	18.2729
ARHGAP9	4371.998	4597	3877	4345.001	3892.004	1580
ARHGDIA	868.999880982	1079.0018	788.00032	1263.0001	740	428.0002
ARHGDIB	29174	33107	32296	37547	35484	14016
ARHGDIG	0	2	0	1	1	0
ARHGEF1	1811	2112.998	1797.0003	2069	2336.997	1075
ARHGEF10	9	4	16	2	41	9
ARHGEF10L	7	0	7	11	5	4
