Stimulation_Day5_Donor1_IL-15	Stimulation_Day5_Donor1_Mabkine	Stimulation_Day5_Donor2_IL-15	Stimulation_Day5_Donor2_Mabkine	Stimulation_Day5_Donor3_IL-15	Stimulation_Day5_Donor3_Mabkine
AGAP3	106.99966	98.99998	72.00001	118.00002	89	27
AGAP4	39.7284	35.3629	71.8629	51.9783	41.2967	42.6505
AGAP5	34.3397	33.8244	32.8877	48.7451	38.865	35.549
AGAP6	115.854	91.0457	106.295	165.671	151.779	87.055
AGAP7	16.8845	6.11989	3.4962	10.836	16.5334	0
AGAP8	38.368408	23.279	20.9026	18.25596	39.5913	11.8516
AGAP9	49.4999	41.8521	48.6386	29.2932	72.2316	25.0689
AGBL1	1	0	4	8	1	3
AGBL2	22	20	32	16.1054	39.3822	25.199
AGBL3	11	9	11	17	16	9
AGBL4	4.30827	0	5.44659	10.0564	5.00796	3.02155
AGBL5	118.1779	130.1619	145.1687	160.1674	129.1455	94.1328
AGER	42.00000698811	40.0000410818	41.00003	54.0000900115639	73.9999600379075	23.9999553
AGFG1	93	98	104.1635	163.2361	156.1944	85
AGFG2	328	316	307	370	311	155
AGGF1	511	516	494	618	538	350
AGK	500	509	586	569	684	476
AGL	107.99995	110	162.00019	127.99992	209	122
AGMAT	87.8589	93.3135	131.724	201.871	170.258	136.817
AGMO	6.7231	7.16201	21.5266	16.5281	26.2344	8.28487
AGO1	581	649	742	770	661	382
AGO2	242.9999	267.0003	297	487.9996	310.0003	172
AGO3	162	154.99988	238.9998	251.0002	225.00028	130.9997
AGO4	109.649	78.9223	190.092	172.124	228.836	96.2557
AGPAT1	475.0005	451	559.000000882272	746.00047637	584	291
AGPAT2	267.00016	263.0001	216	448.9999	254	171.9997
AGPAT3	145.0003	145	170	248	288.00000211127	123.000000048697
AGPAT4	44	48	54	85	78	35
AGPAT4-IT1	6.15237	13.3041	24.5195	30.7941	17.6519	11.2483
AGPAT5	223	303	129	320	206	147
AGPAT6	666.24	597.698	1028.42	1126.78	967.098	526.21
