Coculture_t24h_Donor1_IL-15-1ng-mL	Coculture_t24h_Donor1_IL-15-1nM	Coculture_t24h_Donor1_IL-15-Monalizumab	Coculture_t24h_Donor1_Mabkine	Coculture_t24h_Donor1_Monalizumab	Coculture_t24h_Donor2_IL-15-1ng-mL	Coculture_t24h_Donor2_IL-15-1nM	Coculture_t24h_Donor2_IL-15-Monalizumab	Coculture_t24h_Donor2_Mabkine	Coculture_t24h_Donor2_Monalizumab	Coculture_t24h_Donor3_IL-15-1ng-mL	Coculture_t24h_Donor3_IL-15-1nM	Coculture_t24h_Donor3_IL-15-Monalizumab	Coculture_t24h_Donor3_Mabkine	Coculture_t24h_Donor3_Monalizumab
ACADM	572.0002	181.9999	274.9996	523.9998	161.9997	197.0002	305.00026	304.0001	422.0004	321.9998	216.99965	270.9998	280.9997	358.0001	323
ACADS	678	261	318	596	254	278	455	445	643	410	263	397	454	789	332
ACADSB	678.02	164.406	198.792	343.231	226.227	218.756	207.661	149.251	227.082	275.462	256.02	191.02	160.081	245.967	320.558
ACADVL	5916.9858	2241.97992	3016.9847	5728.976165	2151.998677	1584.9994	3244.999	3257.002	4231.9633	3923.98400947	1629.9855	2580.987	2563.9983	4776.0012	2693.99973
ACAN	5	16	4	4	5	7	6	22	14	4	10	7	3	11	9
ACAP1	8523	2069	3008	4273	1911	2537	2823	3227	3526	3298	3961	3062	3287	5087	5670
ACAP2	1067.05	288.571	395.041	625.138	281.889	357.317	398.572	450.161	453.02	467.446	459.216	393.85	366.034	497.25	630.157
ACAP3	283	129	161	279	69	72	138	151	190	118	68	188	120	211	85
ACAT1	472	322	400	535	211	188	457	500	595	301	154	469	422	647	197
ACAT2	878.712	688.66	696.817	1565.72	365.885	221.802	982.737	840.802	1200.7	366.146	117.053	966.409	921.99	1075.62	172.311
ACBD3	256	83	102	219	84	90	118	129	136	95	78	114	111	131	123
ACBD4	220.7776	61.5622900158802	121.7209	134.3641	75.46055	120.9606	103.9725	83.5633	72.8833	117.1459	118.35977	89.59651	65.78081	133.22031	205.5972
ACBD5	395.356	100.34217	133.4928	245.98624	84.4479	97.7779	127.691	88.57888	101.558	106.6086	118.1738	120.87712	112.9141	163.9542	187.8662
ACBD6	566	244	511	707	132	189	417	529	643	328	156	436	410	554	223
ACBD7	345.659	68.3626	114.7	139.445	97.6877	131.54	96.4732	62.3825	74.7589	113.428	111.255	86.6527	84.5884	98.7054	130.405
ACCS	35.99997	3	10	0	16	43	9	3	14	28.99997	158	74	88	64	177.0004
ACCSL	0	0	1	0	1	2	0	0	3	1	1	1	0	0	1
ACD	465.9999	321.9999	518.0003	699.00005	162	178.71014	439.9999	440	549.00042	230.0004	133.61532	318.99989	356.00014	476.999587	185.99969
ACE	8	2.999995	5	2	4	5	3	1	8.0000011	7	3	6	5	4	3
ACE2	0	0	0	1	1	2	0	0	0	1	0	0	0	2	1
ACER1	0	0	2	21	2	2	2	2	1	9	1	13	1	1	1
ACER2	6	3	3	8	1	0	1	4	1	7	4	4	2	3	1
ACER3	38.3898	23.2759	53.1003	88.4526	41.0118	44.6117	57.2348	62.038	51.119	59.3078	25.1119	51.242	41.1878	66.382	42.5329
ACHE	3	3	5	2	3	2	2	6	3	4	2	5	4	4	2
ACIN1	1728.265	621.299008	1050.90930634126	1631.096	577.342	514.9499	844.1341896692	781.238217491	839.5804	757.0265645	589.21398	629.7296304	701.64833	882.9654	901.233334
ACLY	1838.004	774.0001	917.00000481508	1623.996	406.00032197	539	1042	917	1437.996	713.0004	417	874	867	1016	769.0004
ACMSD	11	0	0	4	1	2	2	2	1	4	3	2	0	7	0
ACN9	181	48	67	117	41	36	84	107	126	56	27	75	77	113	42
ACO1	78	28	49	112	20	45	29	47	84	92	59	57	49	45	64
ACO2	2064.67	610.331	837.277	1587.92	429.311	455.491	790.505	798.107	1225.16	718.254	367.644	626.179	584.524	817.782	557.662
ACOT1	29.7807	10.5245	15.0472	35.8121	12.5883	18.9837	32.8509	27.5455	55.6257	28.8886	15.1923	14.0191	12.1076	26.8369	9.20376
ACOT11	109.0384	19.89008	20	46.67902	40.22326	48.32274	28.4639	76.20132	95	47.4399	10	19.29067	54.1132	21.77358	17.20706
ACOT12	0	0	1	0	0	3	1	0	0	1	2	1	0	2	1
ACOT13	660.244	209.90948	295.51814	366.53856	155.039	147.898	237.082	264.459	240.80099	210.14503	119.06	187.958	207.891	261.895	149.918
ACOT2	371.2194	88.4755	113.95289	219.18837	111.41193	168.01587	170.1494	214.45481	266.3745	320.11161	208.8082	137.98041	147.8921	235.1627	255.7966
